id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA GIZI KURANG,4549,ORANG,2020
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA PENDEK,4382,ORANG,2020
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA KURUS,2760,ORANG,2020
112,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA GIZI KURANG,5784,ORANG,2020
113,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA PENDEK,9044,ORANG,2020
114,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA KURUS,2597,ORANG,2020
115,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA GIZI KURANG,5218,ORANG,2020
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA PENDEK,8175,ORANG,2020
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA KURUS,6562,ORANG,2020
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA GIZI KURANG,2977,ORANG,2020
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA PENDEK,2268,ORANG,2020
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA KURUS,2858,ORANG,2020
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA GIZI KURANG,2648,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA PENDEK,2321,ORANG,2020
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA KURUS,653,ORANG,2020
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA GIZI KURANG,4647,ORANG,2020
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA PENDEK,4217,ORANG,2020
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA KURUS,3408,ORANG,2020
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA GIZI KURANG,6723,ORANG,2020
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA PENDEK,9480,ORANG,2020
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA KURUS,6515,ORANG,2020
